expert_locality,expert_province,expert_region,expert_country,expert_lang,expert_experience,expert_title,expert_education,expert_work_from_home,project_locality,project_province,project_region,project_country,project_lang,company_name,project_experience,project_title,project_education,project_work_from_home,liked
Aalter,East Flanders,Flanders,Belgium,Dutch,14,Project Planner,Master,yes,Evergem,East Flanders,Flanders,Belgium,English,Anacura,5,Project Planner,bachelor,yes,1
Aalter,East Flanders,Flanders,Belgium,English,14,Project Planner,Master,yes,Evergem,East Flanders,Flanders,Belgium,English,Anacura,5,Project Planner,bachelor,yes,1
Aalter,East Flanders,Flanders,Belgium,French,14,Project Planner,Master,yes,Evergem,East Flanders,Flanders,Belgium,English,Anacura,5,Project Planner,bachelor,yes,1
Aalter,East Flanders,Flanders,Belgium,Spanish,14,Project Planner,Master,yes,Evergem,East Flanders,Flanders,Belgium,English,Anacura,5,Project Planner,bachelor,yes,1
Aalter,East Flanders,Flanders,Belgium,German,14,Project Planner,Master,yes,Evergem,East Flanders,Flanders,Belgium,English,Anacura,5,Project Planner,bachelor,yes,1
Antwerp,Antwerp,Flanders,Belgium,Dutch,5,PhD researcher,bachelor,yes,Mechelen,Antwerp,Flanders,Belgium,English,SGS,3,PhD researcher,master ,no,1
Antwerp,Antwerp,Flanders,Belgium,English,5,PhD researcher,bachelor,yes,Mechelen,Antwerp,Flanders,Belgium,English,SGS,3,PhD researcher,master ,no,1
Antwerp,Antwerp,Flanders,Belgium,French,5,PhD researcher,bachelor,yes,Mechelen,Antwerp,Flanders,Belgium,English,SGS,3,PhD researcher,master ,no,1
Antwerp,Antwerp,Flanders,Belgium,Dutch,5,PhD researcher,bachelor,yes,Hasselt,Limburg,Flanders,Belgium,English,Ugentec,3,Research Assistant,Master,yes,1
Antwerp,Antwerp,Flanders,Belgium,English,5,PhD researcher,bachelor,yes,Hasselt,Limburg,Flanders,Belgium,English,Ugentec,3,Research Assistant,Master,yes,1
Antwerp,Antwerp,Flanders,Belgium,French,5,PhD researcher,bachelor,yes,Hasselt,Limburg,Flanders,Belgium,English,Ugentec,3,Research Assistant,Master,yes,1
Temse,East Flanders,Flanders,Belgium,Dutch,2, Clinical Research Associate (CRA),Master,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,1,Intern,bachelor,no,1
Temse,East Flanders,Flanders,Belgium,French,2, Clinical Research Associate (CRA),Master,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,1,Intern,bachelor,no,1
Temse,East Flanders,Flanders,Belgium,English,2, Clinical Research Associate (CRA),Master,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,1,Intern,bachelor,no,1
